id;model_id;manufacture_id;image_url;status;car_number
1;44883;88256;интеграционный 24/7 сотрудник;APPROVED;продукт обход
2;35800;95375;Avon Account Клатч;UNKNOWN;Bedfordshire серебряный
3;99308;5991;invoice резервное;UNKNOWN;maximize ул. Ведущий
4;68411;69349;программирование соединение;ACTIVE;Грубый оптимизационный
5;33854;56882;Практичный передатчик Tugrik;APPROVED;золотой SAS
6;56539;78998;страховой интеграционный zero;NEW;Шарф transitional Великобритания
7;4344;43100;Берет Кошелек улица;NEW;concept systemic маркетинговый
8;95575;91040;Хлопковый needs-based;DELETED;applications красный
9;93086;82900;оптимизационный соединить Потрясающий;APPROVED;matrices
10;37437;91775;Тюменская drive;DELETED;Decentralized сжать
